category,nvisits
Restaurants and Other Eating Places,73764.39344262295
Other Amusement and Recreation Industries,15215.688524590163
Lessors of Real Estate,10689.344262295082
"Museums, Historical Sites, and Similar Institutions",9786.901639344262
"Sporting Goods, Hobby, and Musical Instrument Stores",6469.262295081967
Health and Personal Care Stores,5945.573770491803
Grocery Stores,5624.081967213115
Elementary and Secondary Schools,5199.213114754099
Traveler Accommodation,4840.491803278688
"General Merchandise Stores, including Warehouse Clubs and Supercenters",4382.540983606557
Clothing Stores,4224.4098360655735
Gasoline Stations,4146.245901639344
Child Day Care Services,4135.786885245901
Other Miscellaneous Store Retailers,3874.311475409836
Offices of Physicians,3364.1475409836066
Support Activities for Air Transportation,3109.8688524590166
Used Merchandise Stores,2624.5409836065573
"Office Supplies, Stationery, and Gift Stores",2454.311475409836
Department Stores,2104.2950819672133
Book Stores and News Dealers,1519.032786885246
