category,nvisits
Restaurants and Other Eating Places,106518.91803278688
Other Amusement and Recreation Industries,21749.44262295082
"Museums, Historical Sites, and Similar Institutions",14484.508196721312
Lessors of Real Estate,11254.672131147541
Support Activities for Air Transportation,9882.590163934427
Traveler Accommodation,8799.180327868853
"Sporting Goods, Hobby, and Musical Instrument Stores",8380.918032786885
Grocery Stores,6419.327868852459
Gasoline Stations,6322.7213114754095
Health and Personal Care Stores,6232.0327868852455
Clothing Stores,6188.622950819672
Elementary and Secondary Schools,5654.377049180328
"General Merchandise Stores, including Warehouse Clubs and Supercenters",5053.983606557377
Other Miscellaneous Store Retailers,4827.803278688524
Offices of Physicians,4315.393442622951
Child Day Care Services,3983.688524590164
"Office Supplies, Stationery, and Gift Stores",3459.754098360656
Used Merchandise Stores,3201.0491803278687
Book Stores and News Dealers,2301.2295081967213
Florists,2241.6065573770493
