category,nvisits
Restaurants and Other Eating Places,121872.0655737705
Other Amusement and Recreation Industries,25784.93442622951
Lessors of Real Estate,22968.196721311477
"Museums, Historical Sites, and Similar Institutions",15287.901639344262
"Sporting Goods, Hobby, and Musical Instrument Stores",10865.786885245901
Grocery Stores,10105.606557377048
Gasoline Stations,9474.327868852459
"General Merchandise Stores, including Warehouse Clubs and Supercenters",8576.262295081968
Clothing Stores,8508.16393442623
Health and Personal Care Stores,8317.491803278688
Elementary and Secondary Schools,7720.213114754099
Traveler Accommodation,7436.3442622950815
Offices of Physicians,7119.983606557377
Other Miscellaneous Store Retailers,5755.016393442623
Child Day Care Services,5738.819672131148
"Office Supplies, Stationery, and Gift Stores",4228.426229508197
Department Stores,4063.754098360656
Used Merchandise Stores,3536.9180327868853
Building Material and Supplies Dealers,3145.4590163934427
Florists,2864.245901639344
