category,nvisits
Restaurants and Other Eating Places,30169.93442622951
Other Amusement and Recreation Industries,5929.0
Lessors of Real Estate,4628.852459016393
"Museums, Historical Sites, and Similar Institutions",3663.2950819672133
"Sporting Goods, Hobby, and Musical Instrument Stores",2688.8524590163934
Grocery Stores,2681.8032786885246
Elementary and Secondary Schools,2386.1475409836066
Gasoline Stations,2298.5245901639346
Support Activities for Air Transportation,2093.967213114754
"General Merchandise Stores, including Warehouse Clubs and Supercenters",2021.0819672131147
Health and Personal Care Stores,1863.295081967213
Traveler Accommodation,1855.688524590164
Offices of Physicians,1613.3934426229507
Child Day Care Services,1536.8360655737704
Clothing Stores,1344.3934426229507
Other Miscellaneous Store Retailers,1306.0819672131147
"Office Supplies, Stationery, and Gift Stores",986.4426229508197
Building Material and Supplies Dealers,814.1639344262295
Automobile Dealers,780.983606557377
Used Merchandise Stores,749.5245901639345
