category,nvisits
Restaurants and Other Eating Places,27803.066666666666
Other Amusement and Recreation Industries,5141.533333333334
Lessors of Real Estate,4390.0
"Museums, Historical Sites, and Similar Institutions",3682.4
Grocery Stores,3316.266666666667
"General Merchandise Stores, including Warehouse Clubs and Supercenters",2932.266666666667
Health and Personal Care Stores,2621.5333333333333
"Sporting Goods, Hobby, and Musical Instrument Stores",2262.866666666667
Gasoline Stations,1965.3333333333333
Elementary and Secondary Schools,1660.3333333333333
Child Day Care Services,1602.0
Other Miscellaneous Store Retailers,1561.8
Traveler Accommodation,1547.4
Offices of Physicians,1448.0
Clothing Stores,1250.8
Used Merchandise Stores,1007.4
"Office Supplies, Stationery, and Gift Stores",975.9333333333333
Building Material and Supplies Dealers,885.2666666666667
Department Stores,843.8
"Beer, Wine, and Liquor Stores",653.8
