category,nvisits
Restaurants and Other Eating Places,30901.4
Other Amusement and Recreation Industries,5742.133333333333
"Museums, Historical Sites, and Similar Institutions",4421.533333333334
Lessors of Real Estate,4183.933333333333
Grocery Stores,3479.3333333333335
"General Merchandise Stores, including Warehouse Clubs and Supercenters",2923.6
Gasoline Stations,2648.4666666666667
Health and Personal Care Stores,2330.9333333333334
Traveler Accommodation,2232.8
"Sporting Goods, Hobby, and Musical Instrument Stores",2170.733333333333
Support Activities for Air Transportation,1875.9333333333334
Offices of Physicians,1812.7333333333333
Elementary and Secondary Schools,1730.4
Child Day Care Services,1597.1333333333334
Other Miscellaneous Store Retailers,1473.7333333333333
Clothing Stores,1329.7333333333333
Building Material and Supplies Dealers,1065.9333333333334
Used Merchandise Stores,1031.2666666666667
"Office Supplies, Stationery, and Gift Stores",980.1333333333333
Religious Organizations,772.6666666666666
