category,nvisits
Restaurants and Other Eating Places,11764.2
Lessors of Real Estate,2351.0666666666666
Grocery Stores,2260.733333333333
Other Amusement and Recreation Industries,2122.0666666666666
"Museums, Historical Sites, and Similar Institutions",1895.7333333333333
"General Merchandise Stores, including Warehouse Clubs and Supercenters",1484.6666666666667
Gasoline Stations,1440.8
Child Day Care Services,1107.5333333333333
Elementary and Secondary Schools,1009.4
Health and Personal Care Stores,987.0666666666667
"Sporting Goods, Hobby, and Musical Instrument Stores",968.2666666666667
Support Activities for Air Transportation,887.2666666666667
Offices of Physicians,583.6666666666666
Other Miscellaneous Store Retailers,568.8666666666667
Building Material and Supplies Dealers,552.4
Traveler Accommodation,551.3333333333334
Used Merchandise Stores,500.06666666666666
Religious Organizations,491.46666666666664
Clothing Stores,441.2
Offices of Dentists,364.46666666666664
