category,nvisits
Restaurants and Other Eating Places,40996.86666666667
Lessors of Real Estate,9617.666666666666
Other Amusement and Recreation Industries,7721.333333333333
Grocery Stores,6154.066666666667
"General Merchandise Stores, including Warehouse Clubs and Supercenters",5778.066666666667
"Museums, Historical Sites, and Similar Institutions",5332.866666666667
Gasoline Stations,5166.6
Health and Personal Care Stores,3641.4666666666667
"Sporting Goods, Hobby, and Musical Instrument Stores",3342.866666666667
Offices of Physicians,3263.866666666667
Elementary and Secondary Schools,2458.0666666666666
Building Material and Supplies Dealers,2394.2
Child Day Care Services,2288.9333333333334
Other Miscellaneous Store Retailers,2047.1333333333334
Traveler Accommodation,1910.6666666666667
Clothing Stores,1896.6
Department Stores,1499.1333333333334
"Office Supplies, Stationery, and Gift Stores",1417.4
General Medical and Surgical Hospitals,1334.4666666666667
"Beer, Wine, and Liquor Stores",1255.8666666666666
