category,nvisits
Restaurants and Other Eating Places,10864.666666666666
Lessors of Real Estate,2274.6666666666665
Other Amusement and Recreation Industries,2072.4
Grocery Stores,1619.0
"General Merchandise Stores, including Warehouse Clubs and Supercenters",1570.1333333333334
"Museums, Historical Sites, and Similar Institutions",1361.2666666666667
Gasoline Stations,1103.4
"Sporting Goods, Hobby, and Musical Instrument Stores",890.1333333333333
Health and Personal Care Stores,887.7333333333333
Offices of Physicians,806.2
Elementary and Secondary Schools,740.8
Child Day Care Services,632.9333333333333
Building Material and Supplies Dealers,567.2
Traveler Accommodation,556.0
Other Miscellaneous Store Retailers,546.2666666666667
Automobile Dealers,416.93333333333334
Clothing Stores,392.6666666666667
Offices of Dentists,359.4
"Office Supplies, Stationery, and Gift Stores",353.6
Support Activities for Air Transportation,343.46666666666664
