category,nvisits
Restaurants and Other Eating Places,30802.619047619046
Lessors of Real Estate,6273.952380952381
Other Amusement and Recreation Industries,4932.857142857143
"Museums, Historical Sites, and Similar Institutions",4931.142857142857
Grocery Stores,3212.4761904761904
"General Merchandise Stores, including Warehouse Clubs and Supercenters",2929.0476190476193
Health and Personal Care Stores,2849.4285714285716
Gasoline Stations,2318.3333333333335
"Sporting Goods, Hobby, and Musical Instrument Stores",2247.3809523809523
Clothing Stores,1826.857142857143
Other Miscellaneous Store Retailers,1500.857142857143
Traveler Accommodation,1498.7619047619048
Elementary and Secondary Schools,1478.047619047619
Offices of Physicians,1460.095238095238
Child Day Care Services,1444.047619047619
Department Stores,1094.2857142857142
Building Material and Supplies Dealers,930.7142857142857
"Office Supplies, Stationery, and Gift Stores",828.7619047619048
Used Merchandise Stores,796.8095238095239
Support Activities for Air Transportation,755.0952380952381
