category,nvisits
Restaurants and Other Eating Places,39381.57142857143
"Museums, Historical Sites, and Similar Institutions",7020.476190476191
Other Amusement and Recreation Industries,6378.761904761905
Lessors of Real Estate,6244.761904761905
Grocery Stores,4027.6666666666665
Gasoline Stations,3282.6666666666665
Health and Personal Care Stores,3082.3333333333335
"General Merchandise Stores, including Warehouse Clubs and Supercenters",3052.7619047619046
"Sporting Goods, Hobby, and Musical Instrument Stores",2547.285714285714
Traveler Accommodation,2445.5238095238096
Clothing Stores,2412.0476190476193
Offices of Physicians,2133.809523809524
Support Activities for Air Transportation,1989.6190476190477
Elementary and Secondary Schools,1840.904761904762
Other Miscellaneous Store Retailers,1651.4761904761904
Child Day Care Services,1628.5238095238096
Building Material and Supplies Dealers,1299.904761904762
Department Stores,1120.095238095238
Offices of Dentists,1095.2380952380952
Religious Organizations,1034.6190476190477
