category,nvisits
Restaurants and Other Eating Places,15569.333333333334
"Museums, Historical Sites, and Similar Institutions",3559.4761904761904
Lessors of Real Estate,3190.4761904761904
Other Amusement and Recreation Industries,2619.714285714286
Grocery Stores,2452.7619047619046
Gasoline Stations,1712.7619047619048
"General Merchandise Stores, including Warehouse Clubs and Supercenters",1493.5714285714287
Health and Personal Care Stores,1408.5714285714287
Child Day Care Services,1090.904761904762
Elementary and Secondary Schools,1039.3809523809523
"Sporting Goods, Hobby, and Musical Instrument Stores",1039.2380952380952
Offices of Physicians,721.5238095238095
Clothing Stores,673.7619047619048
Traveler Accommodation,670.5714285714286
Other Miscellaneous Store Retailers,670.4285714285714
Building Material and Supplies Dealers,621.5714285714286
Religious Organizations,619.6666666666666
Support Activities for Air Transportation,607.6190476190476
Department Stores,537.7142857142857
Offices of Dentists,497.8095238095238
