category,nvisits
Restaurants and Other Eating Places,54807.47619047619
Lessors of Real Estate,14654.619047619048
"Museums, Historical Sites, and Similar Institutions",10345.857142857143
Other Amusement and Recreation Industries,9212.761904761905
Grocery Stores,7094.857142857143
Gasoline Stations,6198.190476190476
"General Merchandise Stores, including Warehouse Clubs and Supercenters",6015.0
Health and Personal Care Stores,4619.238095238095
"Sporting Goods, Hobby, and Musical Instrument Stores",4204.0
Clothing Stores,4039.3809523809523
Offices of Physicians,4024.7619047619046
Elementary and Secondary Schools,2806.809523809524
Building Material and Supplies Dealers,2749.3809523809523
Department Stores,2670.0476190476193
Other Miscellaneous Store Retailers,2519.6666666666665
Child Day Care Services,2477.7619047619046
Traveler Accommodation,2332.904761904762
Electronics and Appliance Stores,2111.4285714285716
General Medical and Surgical Hospitals,1807.1904761904761
"Office Supplies, Stationery, and Gift Stores",1646.6190476190477
