category,nvisits
Restaurants and Other Eating Places,16562.47619047619
"Museums, Historical Sites, and Similar Institutions",3968.095238095238
Lessors of Real Estate,3702.1428571428573
Other Amusement and Recreation Industries,2856.7619047619046
Grocery Stores,2126.095238095238
"General Merchandise Stores, including Warehouse Clubs and Supercenters",1802.952380952381
Gasoline Stations,1691.904761904762
Health and Personal Care Stores,1335.857142857143
"Sporting Goods, Hobby, and Musical Instrument Stores",1200.952380952381
Offices of Physicians,1113.904761904762
Elementary and Secondary Schools,997.0952380952381
Clothing Stores,829.6190476190476
Traveler Accommodation,780.0952380952381
Child Day Care Services,726.8571428571429
Building Material and Supplies Dealers,716.5238095238095
Other Miscellaneous Store Retailers,704.3333333333334
Automobile Dealers,599.2857142857143
Offices of Dentists,591.7619047619048
Support Activities for Air Transportation,492.2857142857143
"Office Supplies, Stationery, and Gift Stores",478.76190476190476
