News Source,News Title,timeStamp,subject,glocations,organizations,persons
New York Times,The W.H.O. declared a global health emergency.,30.01.2020,,,WHO,
New York Times,The United States reported a death.,29.02.2020,Deaths (Fatalities);,United States,,
New York Times,The C.D.C. recommended no gatherings of 50 or more people in the U.S.,15.03.2020,Guidelines,New York City,Centers for Disease Control and Prevention,
New York Times,Andrew Cuomo to President Trump: Mobilize the Military to Help Fight Coronavirus,15.03.2020,,New York City,,"Trump, Donald J;Cuomo, Andrew M"
New York Times,"New York City Schools, Restaurants and Bars Are Shut Down Over Coronavirus",15.03.2020,Shutdowns (Institutional);Quarantines,New York City,,"Cuomo, Andrew M"
New York Times,Europe Barricades Borders to Slow Coronavirus,17.03.2020,Travel Restrictions;,Europe,European Union,
New York Times,"N.Y. May Need 18,000 Ventilators Very Soon. It Is Far Short of That.",17.03.2020,Hospitals;Ventilators (Medical),New York City,,
New York Times,U.S. Now Leads the World in Confirmed Cases,26.03.2020,Coronavirus (2019-nCoV) Cases;,United States,,"Fauci, Anthony S;Trump, Donald J"
New York Times,Doctors Are Writing Their Wills  ,26.03.2020,Doctors;,United States,,
New York Times,"N.Y.C. Death Toll Hits 365 as Case Count Tops 23,000",26.03.2020,Deaths (Fatalities);,New York City,,
New York Times,Boris Johnson Moved to Intensive Care; Foreign Minister Deputized,06.04.2020,Coronavirus (2019-nCoV) Cases;,Great Britain,,"Johnson, Boris"
New York Times,"Despite Staggering Death Toll, N.Y. Outbreak Could Be Slowing",06.04.2020,Deaths (Fatalities);,New York City,,
New York Times,"Reopening of New York Could Begin Upstate After May 15, Cuomo Says",26.04.2020,,New York City,,"Cuomo, Andrew M"
New York Times,"Global Virus Death Toll Crosses 200,000",26.04.2020,Deaths (Fatalities);,,,
New York Times,‘Dead Inside’: The Morgue Trucks of New York City,27.05.2020,Deaths (Fatalities);Morgues and Mortuaries,New York City; Brooklyn,,
New York Times,"Four Months After First Case, U.S. Death Toll Passes 100,000",27.05.2020,Deaths (Fatalities);,United States,,"Biden, Joseph R Jr;Trump, Donald J"
New York Times,Florida and South Carolina Again Set Records as U.S. Coronavirus Cases Surge,20.06.2020,Coronavirus (2019-nCoV) Cases;,United States,,
New York Times,"New Coronavirus Cases in U.S. Soar Past 68,000, Shattering Record",10.07.2020,Coronavirus (2019-nCoV) Cases;,United States,,
New York Times,U.S. set seven records in 11 days.,10.07.2020,,United States,,
New York Times,"Infections Swamp the U.S., Which Recorded 42% of All Its Coronavirus Cases in July",01.08.2020,Coronavirus (2019-nCoV) Cases;,United States,,
New York Times,The C.D.C. began developing a plan to distribute a coronavirus vaccine.,16.08.2020,Vaccination and Immunization,United States,Centers for Disease Control and Prevention,
New York Times,New York Has a 14-Day Quarantine. Many New Yorkers Are Ignoring It.,16.08.2020,Quarantines;Travel and Vacations,New York City,,
New York Times,Universities that reopened soon began moving classes online.,18.08.2020,Coronavirus Reopenings;,United States,,
New York Times,N.Y. Gyms Can Reopen Under These New Rules,18.08.2020,Coronavirus Reopenings;,New York City,,"Cuomo, Andrew M"
New York Times,"Global Death Toll From Virus Surpasses 800,000",22.08.2020,Deaths (Fatalities);,,,
New York Times,"The virus surged at U.S. colleges, totaling more than 51,000 cases.",03.09.2020,Coronavirus (2019-nCoV) Cases;,United States,,
New York Times,New Cases Have Reached Record Levels in the Midwest,13.09.2020,Coronavirus (2019-nCoV) Cases;Colleges and Universities,Midwestern States (US),,
New York Times,Fourth-Largest U.S. School District to Allow Students Back in Classrooms,22.09.2020,Coronavirus Reopenings;,New York City,,
New York Times,"The U.S. death toll surpassed 200,000.",22.09.2020,Deaths (Fatalities);,United States,,
New York Times,Warnings Issued as Virus Cases Rise in New York,28.09.2020,Coronavirus (2019-nCoV) Cases; Disease Rates,New York City,,"Cuomo, Andrew M"
New York Times,Global deaths reached 1 million.,28.09.2020,Deaths (Fatalities);,,,
New York Times,New York Becomes First Big City in U.S. to Reopen All Its Schools,01.10.2020,Coronavirus Reopenings; Education (K-12),New York City,,"de Blasio, Bill"
New York Times,Indoor Dining Returns to N.Y.C. After 6 Months,01.10.2020,Coronavirus Reopenings;,New York City,,"Cuomo, Andrew M; de Blasio, Bill"
New York Times,Trump Tests Positive for the Coronavirus,02.10.2020,White House Coronavirus Outbreak (2020),United States,,"Trump, Donald J"
New York Times,President Trump Received Experimental Antibody Treatment,02.10.2020,White House Coronavirus Outbreak (2020),United States,,"Trump, Donald J"
New York Times,A Lockdown With Loopholes: New Virus Restrictions Come Into Force in England,05.10.2020,Quarantines,England,,
New York Times,The world recorded more than 1 million new cases in three days,11.10.2020,Coronavirus (2019-nCoV) Cases;,,,
New York Times,Coronavirus cases at U.S. colleges hit a quarter million.,05.11.2020,Coronavirus (2019-nCoV) Cases;,United States,,
New York Times,The U.S. surpassed 10 million infections.,08.11.2020,Coronavirus (2019-nCoV) Cases;,United States,,
New York Times,The C.D.C. said children’s visits to the emergency room for mental health had risen.,13.11.2020,,United States,Centers for Disease Control and Prevention,
New York Times,New York City to Close Public Schools Again as Virus Cases Rise,18.11.2020,Shutdowns (Institutional);Quarantines,New York City; Brooklyn,,"Cuomo, Andrew M; de Blasio, Bill"
New York Times,N.Y. Shuts Funeral Home Where Dozens of Bodies Were Found in Trucks,18.11.2020,Morgues and Mortuaries,New York City; Brooklyn,,
New York Times,New Pfizer Results: Coronavirus Vaccine Is Safe and 95% Effective,18.11.2020,Vaccination and Immunization,,BioNTech SE; Pfizer Inc,
New York Times,"U.K. Approves Pfizer Coronavirus Vaccine, a First in the West",02.12.2020,Vaccination and Immunization,Great Britain,BioNTech SE; Pfizer Inc,
New York Times,The F.D.A. granted emergency authorization of the coronavirus antibody treatment given to President Trump,21.11.2020,,United States,FDA,"Trump, Donald J"
New York Times,"New York’s First Vaccine Shipment Expected Dec. 15, Cuomo Says",02.12.2020,Vaccination and Immunization,New York City,,"Cuomo, Andrew M"
New York Times,C.D.C. Officials Shorten Recommended Quarantine Periods,02.12.2020,Quarantines ,United States,Centers for Disease Control and Prevention,
New York Times,Moderna Plans to Begin Testing Its Coronavirus Vaccine in Children,02.12.2020,Vaccination and Immunization,,Moderna Inc,
New York Times,Biden said he will ask Americans to wear masks for 100 days.,03.12.2020,,,,
New York Times,Coronavirus Vaccine in New York: What to Know,03.12.2020,Vaccination and Immunization,New York City,Pfizer Inc; Moderna Inc,"Cuomo, Andrew M"
New York Times,"Second Wave ‘Is Right Upon Us,’ New York Mayor Warns",03.12.2020,Coronavirus (2019-nCoV) Cases; Disease Rates,New York City,,"de Blasio, Bill"
New York Times,"As U.K. Begins Vaccinations, a Glimpse of Life After Covid",08.12.2020,Vaccination and Immunization,Great Britain,,
New York Times,"Biden Promises 100 Million Vaccine Shots in 100 Days, but Shortage Worries Rise",08.12.2020,Vaccination and Immunization,United States,AstraZeneca PLC; Pfizer Inc; ,"Biden, Joseph R Jr"
New York Times,"No, the Pfizer and Moderna vaccine development has not been ‘reckless.’",08.12.2020,Vaccination and Immunization; Rumors and Misinformation,,Pfizer Inc; Moderna Inc,"Orient, Jane M"
New York Times,Pfizer’s Vaccine Offers Strong Protection After First Dose,08.12.2020,Vaccination and Immunization,,BioNTech SE; Pfizer Inc,
New York Times,Indoor Dining Will Shut Down in New York City Again,11.12.2020,Shutdowns (Institutional);Quarantines,New York City,,"Cuomo, Andrew M"
New York Times,"With F.D.A. approval, Pfizer will ship millions of vaccine doses immediately.",11.12.2020,Vaccination and Immunization,United States,FDA; Pfizer Inc,
New York Times,Coronavirus Briefing: Vaccinations Begin in the U.S.,14.12.2020,Vaccination and Immunization,United States,,
New York Times,"1st Vaccination in U.S. Is Given in New York, Hard Hit in Outbreak’s First Days",14.12.2020,Vaccination and Immunization,New York City,FDA; Pfizer Inc,"Cuomo, Andrew M"
New York Times,"As U.S. Deaths Surpass 300,000, Obituaries Force Reckoning with Covid",14.12.2020,Deaths (Fatalities);,United States,,
New York Times,Moderna Coronavirus Vaccine Moves Closer to Authorization,18.12.2020,Vaccination and Immunization,United States,FDA; Moderna Inc,
New York Times,How the Johnson & Johnson Vaccine Works,18.12.2020,Vaccination and Immunization,,Johnson & Johnson,
