county_name,fips
Kings County/Brooklyn,36047
Queens County/Queens,36081
New York County/Manhattan,36061
Bronx County/Bronx,36005
Richmond County/Staten Island,36085
Westchester County,36119
Bergen County,34003
Hudson County,34017
Passaic County,34031
Putnam County,36079
Rockland County,36087
Suffolk County,36103
Nassau County,36059
Middlesex County,34023
Monmouth County,34025
Ocean County,34029
Somerset County,34035
Essex County,34013
Union County,34039
Morris County,34027
Sussex County,34037
Hunterdon County,34019
Pike County,42103
