zipcode,zip_population,income,uni_edu_per,w_per,b_per,a_per,h_per
10001,21102,103603.6405,0.533147048,0.614523221,0.055898209,0.262880106,0.128988674
10002,81410,44570.18618,0.231344257,0.281511657,0.0734922,0.349656357,0.239416091
10003,56024,123683.679,0.536310581,0.71847485,0.053768099,0.127214087,0.075909432
10004,3089,173830.8906,0.8992483,0.893342506,0.02331855,0.260537714,0.116512787
10005,7135,158737.93,0.74646363,0.806831395,0.024540434,0.220067554,0.065058865
10006,3011,176532.3034,0.778007307,0.724652275,0.013988708,0.222916639,0.118714048
10007,6988,215760.2529,0.644039067,0.813254722,0.03389482,0.151703492,0.065006153
10009,61347,70841.08234,0.410452019,0.554517743,0.083948685,0.111708804,0.222227656
10010,31834,116972.343,0.614168531,0.76015496,0.048918044,0.179141672,0.113581737
10011,50984,138621.304,0.625479758,0.757415856,0.051914797,0.097991782,0.109914267
10012,24090,118185.518,0.608711166,0.707014487,0.027383562,0.170045994,0.06170357
10013,27700,136209.4721,0.48086231,0.571684549,0.046700866,0.342005884,0.062623394
10014,31959,134647.1076,0.675219969,0.826733002,0.009089114,0.052577991,0.062287556
10016,54183,131291.6987,0.586330749,0.639785246,0.033920436,0.16692003,0.05270428
10017,16575,127590.8209,0.55697267,0.568100151,0.021981961,0.179329532,0.048821599
10018,5229,112241.875,0.870581182,0.816769363,0.073542551,0.465328552,0.181609486
10019,42870,107189.0683,0.552784908,0.601649475,0.050372102,0.157739422,0.158916632
10021,43631,135364.1403,0.558836745,0.713079874,0.009169925,0.067849488,0.08122264
10022,31924,147777.9849,0.620156434,0.719566502,0.011333573,0.108711784,0.041232646
10023,60998,148013.4075,0.612761107,0.748238139,0.035117135,0.102940359,0.078093085
10024,59283,148776.2312,0.611160029,0.796977801,0.025289527,0.066675404,0.091410337
10025,94600,101480.2299,0.420579683,0.523847907,0.102604133,0.070837188,0.157763171
10026,34003,61668.00487,0.359670382,0.302869512,0.573270035,0.068627533,0.234637061
10027,59707,56096.87299,0.304542332,0.289192373,0.383618721,0.088336443,0.242851324
10028,45141,140221.0296,0.715270442,0.901286835,0.013094039,0.096626171,0.075633637
10029,76003,42191.18967,0.227273279,0.340264792,0.316358381,0.093919648,0.475242688
10030,26999,46960.52096,0.240279825,0.175330346,0.645917664,0.024471721,0.26359117
10031,56438,52663.18093,0.258514015,0.300091605,0.292773415,0.041815018,0.541910415
10032,57331,52541.68832,0.252836162,0.315702098,0.195441471,0.050515602,0.6966066
10033,53926,63617.96796,0.258686125,0.382747821,0.094571542,0.018567222,0.577379168
10034,38908,54266.04174,0.267033798,0.422448031,0.126855968,0.033709289,0.769636656
10035,33969,39563.90437,0.192582678,0.189350349,0.386526627,0.048021372,0.454953575
10036,24711,98350.10949,0.640675124,0.679091821,0.077206022,0.199419692,0.233481567
10037,17416,44385.84791,0.280857028,0.102689079,0.749502297,0.029936093,0.209552653
10038,20300,103662.5257,0.462746305,0.570090837,0.108890887,0.322648571,0.158400197
10039,24527,40776.45642,0.217974314,0.148250255,0.697861663,0.0169556,0.390703103
10040,41905,50175.89169,0.26774793,0.373875337,0.105668106,0.032409426,0.718547548
10044,11661,99943.05479,0.511362662,0.456221593,0.121773433,0.339850785,0.133178973
10065,32270,143797.3881,0.511531453,0.6643956,0.017933375,0.076525442,0.052686551
10069,5199,124702.6032,0.647636469,0.662383535,0.036675515,0.247778034,0.028317561
10075,26121,142025.895,0.421788599,0.570067915,0.017106964,0.03462333,0.117737912
10103,3,125156,0.644,0.647,0.022,0.179,0.103
10128,60453,136913.6814,0.612391461,0.748950904,0.038442443,0.088679503,0.120468198
10280,7853,175422.9235,0.835864256,0.960753597,0.023430536,0.20920107,0.115138164
10282,4783,248922.8861,0.598176876,0.759075894,0.012753502,0.234409367,0.056416475
10301,39706,70074.21908,0.224936483,0.516618597,0.175431169,0.060187654,0.180693271
10302,19088,70689.76615,0.14826755,0.555644384,0.183680951,0.074123271,0.363875838
10303,26337,67712.17349,0.141124729,0.446281543,0.312559859,0.08009967,0.38197999
10304,42193,69526.64536,0.196101723,0.473115635,0.220931766,0.094014363,0.213221885
10305,41749,77301.64777,0.239526959,0.743176052,0.070187214,0.129321804,0.171650339
10306,55909,83228.82459,0.208206818,0.829585129,0.029831369,0.054795435,0.136860201
10307,14096,85748.48731,0.237532633,0.872931044,0.003752696,0.028833712,0.082402526
10308,27357,94017.83903,0.273166795,0.974359615,0.012154732,0.054585408,0.098786782
10309,32519,102423.4519,0.24495209,0.942687629,0.011205787,0.037925951,0.092326978
10310,24962,74273.8124,0.209442392,0.535712162,0.189463905,0.05759839,0.283222739
10312,59304,93585.87542,0.246234773,0.937488551,0.011652367,0.056933849,0.107165368
10314,85510,89788.51915,0.248488878,0.761642685,0.046406631,0.17175949,0.156771465
10451,45713,30051.3111,0.123848993,0.131418524,0.399936211,0.012255223,0.593306981
10452,75371,30025.88252,0.064623038,0.093247323,0.249297316,0.013185244,0.564784705
10453,78309,27251.16355,0.068192622,0.077853031,0.310974409,0.008439579,0.635562949
10454,37337,25643.6369,0.043740927,0.126252645,0.319356992,0.004659078,0.658772049
10455,39665,30237.59991,0.071444271,0.112101475,0.278121039,0.013459347,0.665757469
10456,86547,29372.64724,0.079350249,0.110093787,0.443156377,0.008592742,0.644657342
10457,70496,31308.21865,0.075242297,0.152555478,0.385350729,0.009903995,0.65752393
10458,79492,35720.86277,0.083312094,0.179750692,0.194961833,0.030643989,0.670910205
10459,47308,29046.33498,0.077159064,0.11114934,0.308839795,0.009049632,0.626901898
10460,57311,30108.45133,0.071621207,0.155534923,0.301429987,0.016723264,0.674709654
10461,50502,61683.04395,0.190221318,0.443957685,0.085373965,0.103207022,0.439603818
10462,75784,53209.86714,0.175820437,0.230972171,0.27234407,0.124310752,0.458819936
10463,67970,65158.37294,0.295145299,0.459959055,0.141911329,0.038873238,0.514713226
10464,4534,98867.05406,0.320906043,0.7475,0.008238641,0.054401191,0.219129466
10465,42230,84425.88532,0.186273928,0.613238503,0.100126024,0.029378688,0.417057921
10466,67813,59721.85192,0.164666863,0.117553198,0.769809889,0.03280955,0.237812307
10467,97060,39915.32613,0.124753142,0.221973109,0.346274892,0.058352823,0.513988265
10468,76103,37703.00087,0.095320158,0.127572579,0.215023508,0.027475671,0.749328607
10469,66631,68248.70698,0.180015263,0.199007894,0.530628761,0.07225278,0.30312077
10470,15293,62899.96079,0.219287779,0.421824037,0.32344334,0.031130975,0.166249003
10471,22922,92751.44755,0.350101431,0.59175421,0.099270133,0.050437353,0.177824797
10472,66358,36024.45542,0.076569517,0.148196148,0.276002893,0.067587932,0.650516893
10473,58519,47596.60601,0.11336489,0.353064817,0.399784685,0.017020113,0.570925682
10474,12281,27764.69471,0.058871427,0.069782591,0.324322124,0.000814266,0.533262764
10475,40931,53649.56083,0.217163446,0.186902836,0.628725685,0.028153356,0.299923334
10502,5487,156036.5191,0.476797704,0.752071259,0.041024239,0.152532714,0.087155094
10504,7987,213592.9098,0.548078252,0.92736334,0.005084262,0.040998122,0.066602729
10505,851,121776.9415,0.324589894,0.924686251,0.064904818,0.065325499,0.07999765
10506,5790,205557.9744,0.474314508,0.917826943,0.002403109,0.038992573,0.047153541
10507,6408,83799.41948,0.269754994,0.595052591,0.017088483,0.031506866,0.337438983
10509,19507,107306.0393,0.267835803,0.830438663,0.021802276,0.03047383,0.187458246
10510,9988,191791.6936,0.485004706,0.82140018,0.034909992,0.078110433,0.098810573
10511,2246,114338.0586,0.260026714,0.776700801,0.075186999,0.00992431,0.119563669
10512,25590,101093.738,0.268232513,0.835864244,0.040288667,0.017431223,0.1505678
10514,11946,232390.9911,0.521060941,0.820040516,0.016954713,0.093301189,0.040956554
10516,5289,105605.7954,0.422091511,0.990823785,0.002671583,0.011370959,0.079229533
10520,12810,120398.1485,0.400590945,0.831465496,0.053533411,0.055018189,0.127852927
10522,10875,162155.1521,0.385471264,0.713563218,0.065931034,0.066666667,0.082850575
10523,7444,104746.8225,0.318398442,0.45146158,0.345373052,0.090398307,0.357446937
10524,4421,125023.3948,0.364738747,0.826356254,0.042723818,0.034839855,0.074231396
10526,1809,144409.6044,0.43355445,0.896142067,0.016148148,0.019965727,0.130334992
10528,12280,138193.3955,0.395074349,0.840067508,0.037762296,0.120701466,0.115685831
10530,12604,118470.0934,0.511633846,0.659585528,0.099699937,0.10764059,0.146056569
10532,4931,113326.2245,0.326221862,0.831331981,0.042890894,0.053213547,0.133986007
10533,7322,160217.5685,0.39921729,0.716224529,0.035082628,0.061131931,0.059345261
10536,10739,167064.9443,0.426335134,0.879637583,0.013766179,0.030489431,0.067503958
10537,2416,101208.5077,0.408622103,0.605375414,0.216106788,0.050764073,0.084625
10538,16597,185376.5506,0.48837085,0.830443273,0.016542628,0.048745074,0.09010291
10541,26339,109097.9,0.266864877,0.94207935,0.002944493,0.016053723,0.108340028
10543,20135,115204.6876,0.380946312,0.803862975,0.058394388,0.053081649,0.232176558
10547,7647,116935.2478,0.297524389,0.787201125,0.048287825,0.048422911,0.261012685
10548,3487,99522.42613,0.304436478,0.918303699,0.09816031,0.016909378,0.151764267
10549,16638,126522.5232,0.358898786,0.723138178,0.047038226,0.056542012,0.27194741
10550,37144,49719.60349,0.128657818,0.131346597,0.745376642,0.013785914,0.173808233
10552,19786,78930.63752,0.321696553,0.467792783,0.381812241,0.035606742,0.180802133
10553,10170,77164.46594,0.206247788,0.051681613,0.788445034,0.005309833,0.103540511
10560,4737,122104.3822,0.456972979,0.895280557,0.040776441,0.021740553,0.074517627
10562,31796,87938.50723,0.260794943,0.482601617,0.117429865,0.038818216,0.351104667
10566,23570,62805.67315,0.180966059,0.391189648,0.190330929,0.021484938,0.380518456
10567,19929,129451.9338,0.35510989,0.791604345,0.056479753,0.027744844,0.235958754
10570,12680,149913.303,0.421479338,0.813697871,0.043780915,0.043304653,0.125690379
10573,38352,95398.30663,0.247978854,0.640868351,0.035421699,0.028956769,0.510531054
10576,5116,222010.5623,0.545360633,0.918257819,0.019959148,0.028299648,0.05047068
10577,6552,212404.3955,0.100228938,0.14959478,0.002110043,0.019226954,0.000786935
10579,8675,104863.614,0.295838847,0.881672392,0.015295447,0.010809452,0.122241153
10580,17208,186707.7419,0.472074849,0.876993491,0.01110559,0.058081822,0.066621048
10583,38982,201145.0865,0.533285362,0.803722077,0.015359217,0.144117516,0.059167744
10588,2282,119977.3064,0.452556968,0.895574496,0.053206398,0.024624452,0.324039877
10589,8475,114567.7435,0.486607552,1.00327528,0.008381829,0.018312684,0.058474926
10590,6767,149246.8924,0.480820009,0.911546919,0.030788089,0.028501699,0.065908379
