borough,date,total_outflow,total_inflow,visits_inside_home_borough,visits_from_outside_home_borough,visits_to_outside_boroughs
Staten Island,2018-12-31,227623.0,179495.0,161205,18290,66418
Manhattan,2018-12-31,492342.0,935079.0,388459,546620,103883
Bronx,2018-12-31,482385.0,407583.0,309345,98238,173040
Queens,2018-12-31,809229.0,736486.0,532517,203969,276712
Brooklyn,2018-12-31,829632.0,761865.0,590804,171061,238828
Staten Island,2019-01-07,243404.0,189242.0,170514,18728,72890
Manhattan,2019-01-07,527644.0,1074325.0,425366,648959,102278
Bronx,2019-01-07,550695.0,456624.0,348008,108616,202687
Queens,2019-01-07,879321.0,776092.0,566464,209628,312857
Brooklyn,2019-01-07,924229.0,854533.0,656936,197597,267293
Staten Island,2019-01-14,246919.0,191234.0,172882,18352,74037
Manhattan,2019-01-14,534760.0,1092965.0,432134,660831,102626
Bronx,2019-01-14,555977.0,467863.0,352596,115267,203381
Queens,2019-01-14,881313.0,777934.0,569525,208409,311788
Brooklyn,2019-01-14,937566.0,866119.0,663614,202505,273952
Staten Island,2019-01-21,242834.0,187481.0,168557,18924,74277
Manhattan,2019-01-21,523917.0,1048332.0,423424,624908,100493
Bronx,2019-01-21,520386.0,435402.0,331570,103832,188816
Queens,2019-01-21,860959.0,763222.0,556591,206631,304368
Brooklyn,2019-01-21,887026.0,813133.0,627942,185191,259084
Staten Island,2019-01-28,245685.0,192546.0,173662,18884,72023
Manhattan,2019-01-28,571814.0,1113377.0,467394,645983,104420
Bronx,2019-01-28,568588.0,481604.0,366276,115328,202312
Queens,2019-01-28,888957.0,774209.0,575105,199104,313852
Brooklyn,2019-01-28,948326.0,888885.0,681999,206886,266327
Staten Island,2019-02-04,254280.0,197598.0,177913,19685,76367
Manhattan,2019-02-04,565658.0,1123338.0,456759,666579,108899
Bronx,2019-02-04,548759.0,471653.0,346220,125433,202539
Queens,2019-02-04,877397.0,759824.0,555844,203980,321553
Brooklyn,2019-02-04,939448.0,869473.0,659105,210368,280343
Staten Island,2019-02-11,245087.0,189050.0,170144,18906,74943
Manhattan,2019-02-11,563349.0,1129081.0,455640,673441,107709
Bronx,2019-02-11,543410.0,442261.0,337705,104556,205705
Queens,2019-02-11,890860.0,794121.0,571063,223058,319797
Brooklyn,2019-02-11,941202.0,867945.0,661751,206194,279451
Staten Island,2019-02-18,225095.0,172961.0,153670,19291,71425
Manhattan,2019-02-18,538011.0,1048895.0,433574,615321,104437
Bronx,2019-02-18,490373.0,393828.0,304910,88918,185463
Queens,2019-02-18,827579.0,745060.0,527105,217955,300474
Brooklyn,2019-02-18,842590.0,752966.0,584309,168657,258281
Staten Island,2019-02-25,241736.0,190379.0,171482,18897,70254
Manhattan,2019-02-25,556448.0,1082609.0,456378,626231,100070
Bronx,2019-02-25,510894.0,420326.0,327084,93242,183810
Queens,2019-02-25,851087.0,762313.0,559253,203060,291834
Brooklyn,2019-02-25,878840.0,800086.0,625822,174264,253018
Staten Island,2019-03-04,243172.0,190086.0,171223,18863,71949
Manhattan,2019-03-04,550940.0,1079943.0,447006,632937,103934
Bronx,2019-03-04,496660.0,402705.0,309483,93222,187177
Queens,2019-03-04,840589.0,744790.0,540193,204597,300396
Brooklyn,2019-03-04,866430.0,790122.0,610002,180120,256428
Staten Island,2019-03-11,260233.0,204481.0,184147,20334,76086
Manhattan,2019-03-11,582585.0,1154721.0,472389,682332,110196
Bronx,2019-03-11,527134.0,430601.0,332556,98045,194578
Queens,2019-03-11,906139.0,809101.0,588103,220998,318036
Brooklyn,2019-03-11,920792.0,830716.0,648743,181973,272049
Staten Island,2019-03-18,261364.0,205803.0,185199,20604,76165
Manhattan,2019-03-18,551167.0,1107487.0,443300,664187,107867
Bronx,2019-03-18,520593.0,423354.0,327461,95893,193132
Queens,2019-03-18,898273.0,803010.0,585488,217522,312785
Brooklyn,2019-03-18,912781.0,823556.0,645334,178222,267447
Staten Island,2019-03-25,271943.0,214879.0,193868,21011,78075
Manhattan,2019-03-25,596490.0,1166815.0,486060,680755,110430
Bronx,2019-03-25,540687.0,451950.0,345319,106631,195368
Queens,2019-03-25,917689.0,820788.0,601740,219048,315949
Brooklyn,2019-03-25,946220.0,854456.0,670948,183508,275272
Staten Island,2019-04-01,269084.0,211158.0,190129,21029,78955
Manhattan,2019-04-01,609742.0,1180259.0,495004,685255,114738
Bronx,2019-04-01,534391.0,440532.0,336443,104089,197948
Queens,2019-04-01,914439.0,817678.0,591757,225921,322682
Brooklyn,2019-04-01,941145.0,849373.0,660827,188546,280318
Staten Island,2019-04-08,279888.0,222103.0,200171,21932,79717
Manhattan,2019-04-08,656929.0,1250431.0,536367,714064,120562
Bronx,2019-04-08,580529.0,481826.0,368184,113642,212345
Queens,2019-04-08,974946.0,870993.0,635223,235770,339723
Brooklyn,2019-04-08,1005410.0,910246.0,713668,196578,291742
Staten Island,2019-04-15,275401.0,218111.0,195284,22827,80117
Manhattan,2019-04-15,654712.0,1240084.0,527050,713034,127662
Bronx,2019-04-15,577780.0,482983.0,367543,115440,210237
Queens,2019-04-15,978269.0,890183.0,635252,254931,343017
Brooklyn,2019-04-15,998454.0,899398.0,703117,196281,295337
Staten Island,2019-04-22,266135.0,203475.0,180235,23240,85900
Manhattan,2019-04-22,647606.0,1257141.0,524656,732485,122950
Bronx,2019-04-22,551237.0,445820.0,340589,105231,210648
Queens,2019-04-22,944018.0,853159.0,598306,254853,345712
Brooklyn,2019-04-22,932707.0,821556.0,633974,187582,298733
Staten Island,2019-04-29,281627.0,222501.0,200625,21876,81002
Manhattan,2019-04-29,653402.0,1251017.0,534715,716302,118687
Bronx,2019-04-29,581221.0,480138.0,367425,112713,213796
Queens,2019-04-29,979566.0,878243.0,639399,238844,340167
