person_id,hh_id,exercise,exercise_sidewalk,exercise_open_street,exercise_plaza,exercise_park,exercise_trail,exercise_home,exercise_other,bike_num_days,bike_purpose_recreation,bike_purpose_grocery,bike_purpose_shopping,bike_purpose_medical,bike_purpose_visit_friend,bike_purpose_work,bike_purpose_work_related,bike_purpose_restaurant,bike_purpose_other,bike_type_owned,bike_type_borrowed,bike_type_bike_share,bike_type_other,shopping_food_in_store,shopping_food_grocery_pick_up,shopping_food_grocery_delivery,shopping_food_restaurant_pick_up,shopping_food_restaurant_delivery,shopping_food_restaurant_dine,delivery_major_retailer,delivery_small_retailer,delivery_home,delivery_work,delivery_other_location,delivery_service,modes_used_household_vehicle,modes_used_other_vehicle,modes_used_tnc,modes_used_bus,modes_used_subway,modes_used_rail,modes_used_ferry,modes_used_walk,modes_used_scooter,trip_purpose_work,trip_purpose_food,trip_purpose_restaurant,trip_purpose_shopping,trip_purpose_social,trip_purpose_exercise,trip_purpose_school,trip_purpose_drop_off,trip_purpose_other,food_mode,errand_mode,medical_appointment,medical_telehealth,medical_other_virtual,medical_postponed,medical_none,medical_mode,modes_used_june_household_vehicle,modes_used_june_other_vehicle,modes_used_june_tnc,modes_used_june_bus,modes_used_june_subway,modes_used_june_rail,modes_used_june_ferry,modes_used_june_walk,modes_used_june_bike,modes_used_june_scooter,modes_used_june_moped,car_use,bike_freq,vehicle_change,reduced_vehicle_cost,reduced_vehicle_parking,reduced_vehicle_no_need,reduced_vehicle_ridehailing,reduced_vehicle_carshare,reduced_vehicle_transit,reduced_vehicle_nyc_driving,reduced_vehicle_other,increased_vehicle_covid_modes,increased_vehicle_covid_needs,increased_vehicle_area,increased_vehicle_moved,increased_vehicle_job,increased_vehicle_unreliable,increased_vehicle_flexibility,increased_vehicle_new_driver,increased_vehicle_transport_hh_member,increased_vehicle_other,vehicle_no_change,employment_before,industry_before,telework_before,employment_status_change,employment,employment_change_new_job,employment_change_laid_off,employment_change_left_job,employment_change_furloughed_with_pay,employment_change_furloughed_without_pay,employment_change_reduced_hours,employment_change_increased_hours,employment_change_pay_cut,employment_change_pay_increased,employment_change_pay_structure,employment_change_none,industry,job_type,work_return,work_return_barriers_child_care,work_return_barriers_vaccine,work_return_barriers_family,work_return_barriers_other,work_return_barriers_none,work_mode,work_covid_protocols_hours,work_covid_protocols_telework,work_covid_protocols_health,work_covid_protocols_common_spaces,work_covid_protocols_mask,work_covid_protocols_other,work_covid_protocols_dont_know,work_covid_protocols_none,telework_future,attitude_transit_bus,attitude_transit_subway,attitude_transit_future,attitude_tnc,attitude_shared_tnc,attitude_telework,attitude_walk,attitude_bike,attitude_drive,attitude_bus,attitude_stay_home,attitude_nyc_surge,attitude_nyc_employment,attitude_nyc_activities,attitude_order,attitude_mask_indoor,attitude_mask_outdoor,changed_home,changed_num_adults,changed_num_children,changed_student,changed_vehicles,changed_other,changed_none,home_cms_zone,residence_type,move_nyc,move_elsewhere,num_people,age_5_under,age_5_12,age_13_17,age_18_64,age_65_over,student,student_location,num_vehicles,income,race_american_indian_cms,race_asian_cms,race_black_cms,race_native_hawaiian_cms,race_white_cms,race_other_cms,ethnicity_cms,age_cms,education_cms,disability_concentrating_cms,disability_dressing_cms,disability_hearing_cms,disability_mobility_cms,disability_seeing_cms,disability_walking_cms,disability_none_cms,bike_freq_cms,bike_num_days_cms,bike_purpose_appointment_cms,bike_purpose_commute_cms,bike_purpose_errands_cms,bike_purpose_recreation_cms,bike_purpose_transit_cms,bike_purpose_other_cms,work_mode_cms,gender_cms,weight
1900158301,19001583,1,1,0,0,0,1,0,0,0,995,995,995,995,995,995,995,995,995,995,995,995,995,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,2,0,0,0,3,0,0,0,0,2,1,1,0,1,0,5,9,1,0,0,0,0,6,0,0,0,1,0,0,0,0,0,0,0,995,5,3,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,2,1,1,5,2,1,995,995,995,995,995,995,995,995,995,995,995,1,1,6,0,0,0,0,1,995,995,995,995,995,995,995,995,995,4,995,1,995,2,4,2,3,4,4,2,2,5,5,5,1,1,2,0,0,0,0,0,0,1,Northern Bronx,1,1,995,1,0,0,0,1,0,995,995,0,3,0,0,1,0,0,0,1,5,7,0,0,0,0,0,0,1,5,0,995,995,995,995,995,995,105,1,316.10003
1900169401,19001694,2,1,0,0,0,0,0,0,0,995,995,995,995,995,995,995,995,995,995,995,995,995,1,0,0,1,0,0,1,1,1,0,0,0,5,0,0,0,0,0,0,0,0,4,1,0,1,0,0,0,0,0,2,2,0,1,1,0,0,995,1,0,0,0,0,0,0,0,0,0,0,1,5,3,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,3,2,8,1,1,1,1,0,0,0,0,0,0,0,0,0,0,11,3,995,995,995,995,995,995,1,0,1,0,0,0,0,0,0,995,1,1,995,2,1,3,4,5,2,2,1,4,5,5,3,1,1,0,0,0,0,1,0,0,Staten Island,1,1,995,1,0,0,0,0,1,995,995,1,1,0,0,0,0,1,0,1,5,3,0,0,0,0,0,0,1,5,0,995,995,995,995,995,995,995,1,129.89271
1900330701,19003307,7,1,1,0,0,0,0,0,0,995,995,995,995,995,995,995,995,995,995,995,995,995,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,7,0,0,0,9,9,0,0,0,0,1,995,0,0,0,0,0,0,0,1,0,0,0,995,5,3,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,3,6,995,995,2,6,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,1,1,995,2,5,995,1,5,1,5,1,2,3,2,1,1,1,0,0,0,0,0,0,1,Manhattan Core,1,998,995,1,0,0,0,0,1,995,995,0,2,0,0,0,0,1,0,1,9,6,0,0,0,0,0,0,1,5,995,995,995,995,995,995,995,995,1,1982.57091
1900422601,19004226,7,1,0,0,1,0,1,0,0,995,995,995,995,995,995,995,995,995,995,995,995,995,6,0,0,2,2,1,2,0,3,2,0,0,7,0,0,0,0,0,0,0,0,3,5,1,5,4,2,0,2,0,2,9,0,0,0,1,0,995,1,0,0,0,0,0,0,0,0,0,0,1,4,3,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,3,1,7,2,1,1,0,0,0,0,0,0,0,0,0,0,1,7,2,995,995,995,995,995,995,1,1,1,1,1,1,0,0,0,4,4,5,4,3,5,1,2,5,1,3,4,5,5,5,2,2,4,0,1,0,0,0,1,0,Northern Bronx,1,1,995,4,0,0,0,4,0,995,995,2,4,0,0,0,0,1,0,1,8,5,0,0,0,0,0,0,1,5,0,995,995,995,995,995,995,100,1,1269.70075
1900438701,19004387,4,0,0,0,1,0,0,0,0,995,995,995,995,995,995,995,995,995,995,995,995,995,1,0,0,0,0,0,1,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,1,0,2,0,0,0,2,2,1,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,2,5,3,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,3,2,7,8,2,5,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,5,5,4,5,5,995,3,3,3,2,3,2,2,1,2,1,1,0,0,0,0,0,0,1,Staten Island,1,998,995,3,0,0,0,1,2,995,995,2,3,0,0,0,0,1,0,1,9,6,0,0,0,0,0,0,1,5,995,995,995,995,995,995,995,995,2,416.23316
1900444201,19004442,0,995,995,995,995,995,995,995,0,995,995,995,995,995,995,995,995,995,995,995,995,995,2,0,0,0,0,0,2,0,2,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,1,0,0,0,0,1,995,1,0,0,0,0,0,0,0,0,0,0,1,5,3,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,3,1,4,8,2,1,995,995,995,995,995,995,995,995,995,995,995,13,1,6,0,0,0,1,0,995,995,995,995,995,995,995,995,995,6,5,5,996,5,5,1,3,3,1,3,5,5,5,5,1,1,1,0,0,0,0,0,1,0,Outer Queens,1,1,995,3,0,0,0,1,2,995,995,2,4,0,1,0,0,0,0,1,6,6,0,0,0,0,0,0,1,5,0,995,995,995,995,995,995,100,2,1682.35765
1900526701,19005267,0,995,995,995,995,995,995,995,0,995,995,995,995,995,995,995,995,995,995,995,995,995,2,0,0,0,1,2,1,0,2,0,0,1,0,0,0,3,0,0,0,4,0,2,0,2,3,1,0,0,0,0,9,9,0,1,0,0,0,995,0,0,0,1,0,0,0,1,0,0,0,995,5,3,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,3,1,9,8,2,1,995,995,995,995,995,995,995,995,995,995,995,8,2,995,995,995,995,995,995,4,0,1,1,0,1,0,0,0,4,995,3,997,5,5,3,2,5,4,1,4,5,5,5,2,1,1,0,0,0,0,0,0,1,Inner Brooklyn,1,1,995,2,0,0,0,2,0,995,995,1,5,0,0,0,0,1,0,1,6,7,0,0,0,0,0,0,1,5,0,995,995,995,995,995,995,1,1,1273.50053
1900610701,19006107,5,1,1,0,1,0,1,0,0,995,995,995,995,995,995,995,995,995,995,995,995,995,2,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2,1,5,0,0,0,9,9,1,0,1,0,0,6,0,0,0,0,0,0,0,1,0,0,0,995,5,3,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,3,1,7,8,2,1,995,995,995,995,995,995,995,995,995,995,995,7,1,4,1,0,0,0,0,995,995,995,995,995,995,995,995,995,6,3,1,1,4,4,1,1,4,3,5,1,5,5,5,1,1,1,0,0,0,0,0,0,1,Inner Queens,1,1,995,2,0,1,0,1,0,995,995,0,3,0,0,0,0,1,0,1,6,7,0,0,0,0,0,0,1,5,995,995,995,995,995,995,995,105,1,960.89973
1900751101,19007511,0,995,995,995,995,995,995,995,0,995,995,995,995,995,995,995,995,995,995,995,995,995,2,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,2,0,0,0,1,0,995,1,0,0,0,0,0,0,0,0,0,0,1,5,3,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,3,1,1,2,2,1,995,995,995,995,995,995,995,995,995,995,995,1,1,6,0,1,1,0,0,995,995,995,995,995,995,995,995,995,6,4,4,4,4,4,1,3,5,1,5,1,5,5,5,1,1,1,0,0,0,0,0,0,1,Outer Queens,1,1,995,6,0,0,1,4,1,995,995,1,999,0,1,0,0,0,0,1,4,999,0,0,0,0,0,0,1,5,995,995,995,995,995,995,995,105,999,605.08273
1900765001,19007650,3,1,0,0,0,0,1,0,0,995,995,995,995,995,995,995,995,995,995,995,995,995,2,0,0,1,1,0,2,1,3,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,2,2,1,0,0,0,0,2,1,0,0,0,0,0,0,1,0,0,0,2,5,3,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,3,6,995,995,995,6,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,3,3,997,3,5,995,3,3,1,3,2,3,3,3,2,1,2,0,0,0,0,0,0,1,Northern Bronx,995,1,995,4,0,1,1,2,0,995,995,2,4,0,0,0,0,0,1,3,8,3,0,0,0,0,0,0,1,5,0,995,995,995,995,995,995,995,2,859.59804
