census_tract,population,poi_count,poi_diversity,poi_per_capita
360050001001,7503,10,2,0.0013328002145808345
360050002001,2114,1,1,0.0004730369016083254
360050002002,2168,3,3,0.0013837638422509225
360050002003,969,2,2,0.0020639834984520124
360050004001,646,8,6,0.012383900944272446
360050004002,1400,6,3,0.0042857142928571425
360050004003,3393,5,3,0.00147362216622458
360050004004,541,1,1,0.001848428853974122
360050016001,3427,7,5,0.0020426028625620076
360050016002,662,4,3,0.006042296087613293
360050016004,1501,6,4,0.003997335116588941
360050019001,1737,37,11,0.021301093845710998
360050019002,76,7,5,0.09210526328947369
360050019003,869,20,14,0.023014959735327963
360050019004,0,9,7,1e-08
360050019005,0,1,1,1e-08
360050020001,1267,11,6,0.008681925816890293
360050020002,1794,5,5,0.0027870680100334447
360050020003,3073,4,2,0.0013016596192645623
360050020006,1207,2,1,0.0016570008367854184
360050023001,2560,3,3,0.00117187500390625
360050023002,547,1,1,0.0018281535831809871
360050023003,1717,2,1,0.001164822370413512
360050024001,123,1,1,0.00813008138211382
360050025001,1177,15,5,0.012744265089209856
360050025002,1038,4,2,0.003853564556840077
360050025003,1470,11,6,0.007482993204081633
360050025004,1385,3,3,0.002166064989169675
360050025005,581,6,4,0.01032702239242685
360050027011,1364,4,3,0.002932551326979472
360050027012,1670,17,10,0.010179640724550899
360050027021,1079,9,6,0.008341056543095459
360050027022,810,11,7,0.013580246925925927
360050027023,1570,8,5,0.005095541407643313
360050028001,1605,29,16,0.0180685358317757
360050028004,874,1,1,0.001144164771167048
360050031001,1744,9,7,0.005160550464449542
360050033001,724,4,3,0.005524861892265193
360050033002,1446,2,2,0.0013831258713692947
360050033003,1685,3,2,0.0017804154362017805
360050035001,763,4,3,0.005242463971166448
360050035002,1664,1,1,0.0006009615444711538
360050035003,1508,12,5,0.007957559688328912
360050037001,279,2,1,0.007168458817204301
360050039001,1408,15,7,0.010653409098011364
360050039002,2205,20,8,0.009070294789115647
360050039003,673,11,7,0.01634472512630015
360050039004,1142,3,2,0.0026269702364273206
360050039005,1059,19,8,0.017941454211520304
360050040011,1489,8,3,0.005372733384822029
360050041001,1850,4,4,0.0021621621675675675
360050041002,2264,10,6,0.004416961135159011
360050041003,0,4,2,1e-08
360050041004,2094,8,7,0.00382043935530086
360050042001,809,4,4,0.0049443757849196536
360050042002,3202,2,2,0.0006246096221111805
360050042003,1439,1,1,0.0006949270396108408
360050042004,1043,1,1,0.0009587727804410355
360050042005,545,11,6,0.020183486256880736
360050042006,0,18,11,1e-08
360050043001,1775,25,10,0.014084507047887324
360050043002,1773,24,8,0.01353637902425268
360050043003,1375,5,4,0.0036363636436363635
360050043004,1098,3,2,0.002732240446265938
360050044001,1120,2,1,0.001785714294642857
360050044002,611,4,3,0.006546644860883797
360050044003,1932,15,9,0.007763975160455487
360050044004,1164,2,1,0.0017182130670103093
360050046001,1976,19,11,0.009615384620445344
360050048001,1940,9,6,0.0046391752628865985
360050048002,2564,13,6,0.005070202812012481
360050050011,1619,5,3,0.003088326133415689
360050050012,1342,3,3,0.0022354694560357677
360050050013,1268,1,1,0.0007886435410094637
360050050014,952,1,1,0.0010504201785714285
360050050021,1685,17,6,0.010089020777448072
360050050022,947,1,1,0.0010559662196409714
360050050023,1697,3,3,0.0017678255804360636
360050050024,1358,2,2,0.0014727540574374079
360050051001,473,38,13,0.08033826640591966
360050051002,2649,21,10,0.007927519822574556
360050051003,2554,7,2,0.002740798750978857
360050052001,758,16,9,0.02110817943271768
360050052002,1610,3,2,0.001863354043478261
360050053001,1662,3,3,0.001805054157641396
360050053002,2204,3,1,0.0013611615290381124
360050054001,1034,14,7,0.013539651847195359
360050054002,2801,9,5,0.003213138168511246
360050054003,1031,7,3,0.006789524742967993
360050054004,1426,3,2,0.0021037868232819073
360050056001,895,3,2,0.003351955318435754
360050056003,900,12,5,0.013333333344444446
360050059021,743,7,4,0.009421265154777926
360050059022,2003,4,3,0.001997004498252621
360050060001,1269,18,8,0.014184397171000788
360050061001,784,22,9,0.02806122450255102
360050061002,3094,2,2,0.0006464124143503555
360050061003,0,12,5,1e-08
360050062002,1982,1,1,0.0005045408728557013
360050062003,1830,2,2,0.0010928961803278688
360050062004,1703,5,3,0.002935995308279507
360050062005,792,8,5,0.010101010113636365
360050063001,0,23,4,1e-08
360050063002,287,58,20,0.202090592369338
360050063003,822,22,6,0.026763990279805354
360050063004,767,3,2,0.003911342907431552
360050063005,892,2,2,0.0022421524775784753
360050063006,1523,4,4,0.0026263952790544975
360050064001,1450,2,2,0.0013793103517241378
360050064002,641,1,1,0.0015600624180967238
360050064004,765,2,2,0.0026143790980392156
360050065001,986,46,15,0.04665314402636917
360050065002,2897,13,5,0.004487400762858129
360050065003,1116,10,4,0.008960573485663084
360050065004,610,54,13,0.08852459018032786
360050067001,1349,15,6,0.01111934767234989
360050067002,2003,13,5,0.006490264608087868
360050067003,1370,1,1,0.00072992701459854
360050067004,1707,1,1,0.0005858230872876391
360050067005,472,1,1,0.002118644088983051
360050067006,696,7,3,0.010057471278735632
360050068002,755,7,6,0.00927152319205298
360050068003,1282,1,1,0.0007800312090483619
360050069001,3780,16,6,0.004232804235449736
360050069002,1850,11,6,0.005945945951351352
360050069003,1231,1,1,0.0008123476929325751
360050070002,1203,10,4,0.008312551961762261
360050070003,955,6,1,0.006282722523560209
360050071001,883,7,4,0.007927519830124576
360050071002,1661,38,15,0.02287778447320891
360050072001,1706,3,1,0.0017584994196951935
360050072002,2833,9,6,0.0031768443381574307
360050072003,622,12,8,0.01929260451768489
360050073001,1342,7,4,0.005216095387481371
360050073002,1324,11,7,0.008308157107250755
360050073003,1380,5,4,0.003623188413043478
360050074001,1231,1,1,0.0008123476929325751
360050074002,1240,2,2,0.0016129032338709677
360050075001,1560,4,4,0.0025641025705128205
