ID,Date,Cases_New
10001,2020-03-30,22
11372,2020-03-30,109
10037,2020-03-30,20
11373,2020-03-30,142
10036,2020-03-30,10
11374,2020-03-30,60
10035,2020-03-30,38
11375,2020-03-30,94
10034,2020-03-30,26
11377,2020-03-30,105
10033,2020-03-30,49
11378,2020-03-30,34
10032,2020-03-30,59
11379,2020-03-30,24
10031,2020-03-30,52
11385,2020-03-30,62
10030,2020-03-30,29
11411,2020-03-30,58
10038,2020-03-30,8
10029,2020-03-30,88
11370,2020-03-30,126
11369,2020-03-30,83
10301,2020-03-30,43
11361,2020-03-30,27
10282,2020-03-30,4
11362,2020-03-30,3
10280,2020-03-30,1
11363,2020-03-30,9
10128,2020-03-30,14
11364,2020-03-30,15
10075,2020-03-30,16
11365,2020-03-30,39
10069,2020-03-30,0
11366,2020-03-30,24
10065,2020-03-30,13
11367,2020-03-30,44
10044,2020-03-30,5
11368,2020-03-30,201
10040,2020-03-30,38
10039,2020-03-30,14
11412,2020-03-30,75
10028,2020-03-30,17
11413,2020-03-30,67
11427,2020-03-30,39
10014,2020-03-30,15
11428,2020-03-30,26
10013,2020-03-30,4
11429,2020-03-30,48
10012,2020-03-30,8
11432,2020-03-30,54
10011,2020-03-30,23
11433,2020-03-30,36
10010,2020-03-30,3
11434,2020-03-30,99
10009,2020-03-30,26
11435,2020-03-30,76
10007,2020-03-30,1
11436,2020-03-30,23
10006,2020-03-30,0
11691,2020-03-30,97
10016,2020-03-30,29
11426,2020-03-30,22
10017,2020-03-30,6
11423,2020-03-30,25
11414,2020-03-30,32
10027,2020-03-30,43
11415,2020-03-30,20
10026,2020-03-30,31
11416,2020-03-30,43
10025,2020-03-30,50
11417,2020-03-30,24
10024,2020-03-30,28
11360,2020-03-30,11
11418,2020-03-30,36
11419,2020-03-30,57
10022,2020-03-30,11
11420,2020-03-30,59
10021,2020-03-30,24
11421,2020-03-30,43
10019,2020-03-30,18
11422,2020-03-30,56
10018,2020-03-30,9
10023,2020-03-30,20
10302,2020-03-30,26
11358,2020-03-30,14
10303,2020-03-30,30
10470,2020-03-30,13
11212,2020-03-30,74
10469,2020-03-30,112
11213,2020-03-30,56
10468,2020-03-30,96
11214,2020-03-30,56
10467,2020-03-30,105
11215,2020-03-30,36
11216,2020-03-30,30
10466,2020-03-30,78
11217,2020-03-30,35
10465,2020-03-30,72
11218,2020-03-30,75
10464,2020-03-30,5
11219,2020-03-30,99
10463,2020-03-30,150
11220,2020-03-30,53
11211,2020-03-30,71
10471,2020-03-30,19
11210,2020-03-30,59
10472,2020-03-30,52
11105,2020-03-30,30
11109,2020-03-30,2
11104,2020-03-30,24
11201,2020-03-30,23
11103,2020-03-30,28
11203,2020-03-30,87
11102,2020-03-30,33
11204,2020-03-30,77
10462,2020-03-30,88
11101,2020-03-30,31
11004,2020-03-30,27
11206,2020-03-30,66
10475,2020-03-30,64
11207,2020-03-30,75
10474,2020-03-30,12
11208,2020-03-30,88
10473,2020-03-30,81
11209,2020-03-30,56
11205,2020-03-30,28
10005,2020-03-30,1
11221,2020-03-30,49
11222,2020-03-30,17
10312,2020-03-30,44
11235,2020-03-30,66
10310,2020-03-30,32
11236,2020-03-30,110
10309,2020-03-30,31
11237,2020-03-30,39
10308,2020-03-30,30
11238,2020-03-30,30
10307,2020-03-30,16
11239,2020-03-30,29
10306,2020-03-30,53
11354,2020-03-30,52
10305,2020-03-30,40
11355,2020-03-30,57
11356,2020-03-30,26
10304,2020-03-30,43
11357,2020-03-30,30
11234,2020-03-30,93
10314,2020-03-30,93
11233,2020-03-30,54
10451,2020-03-30,56
10460,2020-03-30,53
11223,2020-03-30,55
10459,2020-03-30,54
11224,2020-03-30,40
10458,2020-03-30,88
11225,2020-03-30,41
10457,2020-03-30,106
11226,2020-03-30,68
10461,2020-03-30,92
10456,2020-03-30,119
10455,2020-03-30,41
11229,2020-03-30,47
10454,2020-03-30,49
11230,2020-03-30,98
10453,2020-03-30,92
11231,2020-03-30,15
10452,2020-03-30,75
11232,2020-03-30,28
11228,2020-03-30,21
11692,2020-03-30,27
11106,2020-03-30,24
10002,2020-03-30,43
11694,2020-03-30,38
10003,2020-03-30,19
11697,2020-03-30,4
11693,2020-03-30,15
10004,2020-03-30,1
10069,2020-04-06,2
10475,2020-04-06,175
10459,2020-04-06,120
10030,2020-04-06,23
10301,2020-04-06,114
11360,2020-04-06,22
11432,2020-04-06,91
11411,2020-04-06,49
10302,2020-04-06,55
11419,2020-04-06,82
11693,2020-04-06,31
10011,2020-04-06,19
11224,2020-04-06,70
10469,2020-04-06,255
11102,2020-04-06,48
11213,2020-04-06,76
11106,2020-04-06,39
10012,2020-04-06,5
10282,2020-04-06,6
11223,2020-04-06,126
11362,2020-04-06,29
11204,2020-04-06,84
10022,2020-04-06,24
11697,2020-04-06,4
11385,2020-04-06,124
10031,2020-04-06,81
11429,2020-04-06,74
10280,2020-04-06,3
11361,2020-04-06,24
11358,2020-04-06,42
10458,2020-04-06,151
11433,2020-04-06,62
11418,2020-04-06,63
11435,2020-04-06,101
11201,2020-04-06,31
10009,2020-04-06,37
11209,2020-04-06,90
11228,2020-04-06,49
10473,2020-04-06,168
10456,2020-04-06,200
11413,2020-04-06,86
10028,2020-04-06,25
10306,2020-04-06,110
11354,2020-04-06,79
11226,2020-04-06,164
10305,2020-04-06,107
11355,2020-04-06,77
10470,2020-04-06,37
11434,2020-04-06,156
10303,2020-04-06,84
10029,2020-04-06,117
11412,2020-04-06,75
10002,2020-04-06,63
11225,2020-04-06,88
11203,2020-04-06,147
10460,2020-04-06,123
11357,2020-04-06,57
11356,2020-04-06,34
10304,2020-04-06,95
11212,2020-04-06,118
10023,2020-04-06,36
10010,2020-04-06,15
10457,2020-04-06,152
11103,2020-04-06,48
11694,2020-04-06,46
10013,2020-04-06,11
11239,2020-04-06,41
11426,2020-04-06,42
11421,2020-04-06,92
11369,2020-04-06,96
11004,2020-04-06,45
11219,2020-04-06,151
11377,2020-04-06,118
10017,2020-04-06,5
10034,2020-04-06,44
10039,2020-04-06,30
11370,2020-04-06,170
11206,2020-04-06,86
10464,2020-04-06,7
11423,2020-04-06,81
10038,2020-04-06,14
10040,2020-04-06,61
11375,2020-04-06,112
10466,2020-04-06,189
11216,2020-04-06,45
11218,2020-04-06,121
10037,2020-04-06,32
10018,2020-04-06,15
11373,2020-04-06,170
10019,2020-04-06,31
10465,2020-04-06,108
10035,2020-04-06,65
10036,2020-04-06,19
11374,2020-04-06,71
11422,2020-04-06,57
10004,2020-04-06,0
11207,2020-04-06,122
11372,2020-04-06,157
10463,2020-04-06,350
11215,2020-04-06,36
10467,2020-04-06,243
10468,2020-04-06,194
11214,2020-04-06,114
10128,2020-04-06,49
11222,2020-04-06,25
11364,2020-04-06,32
11208,2020-04-06,161
10474,2020-04-06,22
10075,2020-04-06,23
11420,2020-04-06,123
10461,2020-04-06,113
11428,2020-04-06,54
11101,2020-04-06,34
11365,2020-04-06,58
10014,2020-04-06,9
11379,2020-04-06,43
10003,2020-04-06,22
11221,2020-04-06,64
11368,2020-04-06,220
11220,2020-04-06,112
10044,2020-04-06,10
10033,2020-04-06,82
10016,2020-04-06,34
11378,2020-04-06,44
11363,2020-04-06,4
11367,2020-04-06,49
10065,2020-04-06,13
11427,2020-04-06,58
10462,2020-04-06,144
11366,2020-04-06,21
11205,2020-04-06,40
10032,2020-04-06,89
10021,2020-04-06,27
10307,2020-04-06,24
11217,2020-04-06,41
11237,2020-04-06,54
10455,2020-04-06,99
11231,2020-04-06,23
10308,2020-04-06,52
11691,2020-04-06,169
10310,2020-04-06,55
10471,2020-04-06,40
10027,2020-04-06,47
11229,2020-04-06,114
11414,2020-04-06,88
11210,2020-04-06,115
10026,2020-04-06,42
11230,2020-04-06,113
11236,2020-04-06,220
10007,2020-04-06,1
11109,2020-04-06,2
11692,2020-04-06,57
11211,2020-04-06,82
10452,2020-04-06,138
11233,2020-04-06,78
10472,2020-04-06,152
10454,2020-04-06,59
11436,2020-04-06,36
11416,2020-04-06,51
10312,2020-04-06,108
10005,2020-04-06,3
10024,2020-04-06,32
10309,2020-04-06,67
11415,2020-04-06,30
11238,2020-04-06,34
10451,2020-04-06,110
11232,2020-04-06,47
11234,2020-04-06,174
10453,2020-04-06,166
10025,2020-04-06,107
10006,2020-04-06,1
11417,2020-04-06,59
11235,2020-04-06,142
10314,2020-04-06,219
10001,2020-04-06,32
11104,2020-04-06,32
11105,2020-04-06,35
11377,2020-04-13,234
11220,2020-04-13,181
10468,2020-04-13,323
10459,2020-04-13,188
10021,2020-04-13,38
10030,2020-04-13,71
11219,2020-04-13,263
11432,2020-04-13,224
11367,2020-04-13,93
11411,2020-04-13,70
11420,2020-04-13,169
10461,2020-04-13,245
11109,2020-04-13,4
10312,2020-04-13,159
10033,2020-04-13,146
11235,2020-04-13,351
11419,2020-04-13,153
11370,2020-04-13,308
11234,2020-04-13,410
10005,2020-04-13,4
10024,2020-04-13,84
10467,2020-04-13,454
10039,2020-04-13,62
10302,2020-04-13,97
11360,2020-04-13,31
10034,2020-04-13,91
11224,2020-04-13,167
11416,2020-04-13,91
10454,2020-04-13,164
10128,2020-04-13,77
11428,2020-04-13,107
11361,2020-04-13,52
10017,2020-04-13,14
10301,2020-04-13,188
10469,2020-04-13,461
10001,2020-04-13,35
10013,2020-04-13,14
11694,2020-04-13,91
11364,2020-04-13,61
11204,2020-04-13,195
10040,2020-04-13,112
10310,2020-04-13,121
11362,2020-04-13,37
11214,2020-04-13,221
11385,2020-04-13,257
10471,2020-04-13,95
11691,2020-04-13,328
10460,2020-04-13,250
11368,2020-04-13,409
11697,2020-04-13,8
11215,2020-04-13,80
11208,2020-04-13,334
10280,2020-04-13,3
10031,2020-04-13,181
10314,2020-04-13,351
11429,2020-04-13,115
10463,2020-04-13,594
11369,2020-04-13,152
11223,2020-04-13,211
10022,2020-04-13,23
11102,2020-04-13,79
11236,2020-04-13,460
11233,2020-04-13,196
11213,2020-04-13,170
11105,2020-04-13,57
10012,2020-04-13,20
11004,2020-04-13,67
10044,2020-04-13,29
10075,2020-04-13,35
11421,2020-04-13,149
11417,2020-04-13,111
10282,2020-04-13,8
11363,2020-04-13,7
11230,2020-04-13,253
11206,2020-04-13,205
10006,2020-04-13,4
11210,2020-04-13,259
11426,2020-04-13,50
10026,2020-04-13,109
10011,2020-04-13,38
10032,2020-04-13,193
11358,2020-04-13,76
10465,2020-04-13,201
10025,2020-04-13,216
11217,2020-04-13,67
10455,2020-04-13,205
10306,2020-04-13,183
10308,2020-04-13,69
11354,2020-04-13,211
10069,2020-04-13,8
10028,2020-04-13,49
10019,2020-04-13,99
11378,2020-04-13,90
11373,2020-04-13,330
11226,2020-04-13,324
10451,2020-04-13,253
11379,2020-04-13,99
10470,2020-04-13,57
10305,2020-04-13,168
10027,2020-04-13,171
10018,2020-04-13,10
11355,2020-04-13,183
10004,2020-04-13,3
10456,2020-04-13,346
10473,2020-04-13,228
11238,2020-04-13,81
10035,2020-04-13,189
10475,2020-04-13,264
11413,2020-04-13,154
11205,2020-04-13,74
11106,2020-04-13,71
10307,2020-04-13,56
11207,2020-04-13,302
11104,2020-04-13,51
11239,2020-04-13,79
11366,2020-04-13,47
11418,2020-04-13,137
10037,2020-04-13,58
11422,2020-04-13,124
10003,2020-04-13,65
11374,2020-04-13,107
10453,2020-04-13,313
11228,2020-04-13,92
11232,2020-04-13,52
10036,2020-04-13,68
11201,2020-04-13,73
11221,2020-04-13,149
11209,2020-04-13,152
10009,2020-04-13,123
11435,2020-04-13,196
11427,2020-04-13,91
11434,2020-04-13,261
11231,2020-04-13,49
10452,2020-04-13,332
11423,2020-04-13,152
11225,2020-04-13,157
10474,2020-04-13,48
11237,2020-04-13,109
11436,2020-04-13,65
10303,2020-04-13,111
10038,2020-04-13,12
11357,2020-04-13,103
11365,2020-04-13,110
10002,2020-04-13,151
10029,2020-04-13,313
11433,2020-04-13,128
11211,2020-04-13,174
11203,2020-04-13,300
11415,2020-04-13,57
10464,2020-04-13,24
10462,2020-04-13,327
11101,2020-04-13,76
10016,2020-04-13,61
10458,2020-04-13,282
10309,2020-04-13,94
10466,2020-04-13,366
11412,2020-04-13,162
11222,2020-04-13,45
11229,2020-04-13,250
10023,2020-04-13,71
10010,2020-04-13,28
11218,2020-04-13,177
11693,2020-04-13,42
11375,2020-04-13,167
11212,2020-04-13,219
11692,2020-04-13,67
10304,2020-04-13,201
10007,2020-04-13,7
10014,2020-04-13,20
11216,2020-04-13,92
11414,2020-04-13,103
11356,2020-04-13,63
11372,2020-04-13,253
10457,2020-04-13,293
11103,2020-04-13,64
10065,2020-04-13,28
10472,2020-04-13,273
10462,2020-04-20,190
11367,2020-04-20,98
10021,2020-04-20,28
11417,2020-04-20,113
11231,2020-04-20,35
11234,2020-04-20,192
10003,2020-04-20,16
11378,2020-04-20,76
10065,2020-04-20,19
11366,2020-04-20,28
10467,2020-04-20,256
11427,2020-04-20,78
10032,2020-04-20,135
11235,2020-04-20,190
11220,2020-04-20,126
11375,2020-04-20,113
11423,2020-04-20,111
10004,2020-04-20,1
11106,2020-04-20,63
11372,2020-04-20,201
11692,2020-04-20,63
11216,2020-04-20,58
10037,2020-04-20,18
10018,2020-04-20,14
10019,2020-04-20,32
10038,2020-04-20,19
11373,2020-04-20,252
10025,2020-04-20,92
11217,2020-04-20,27
10465,2020-04-20,130
10035,2020-04-20,61
10036,2020-04-20,27
11232,2020-04-20,34
11374,2020-04-20,63
11422,2020-04-20,84
11416,2020-04-20,81
10475,2020-04-20,130
10451,2020-04-20,158
10464,2020-04-20,10
10452,2020-04-20,259
11218,2020-04-20,122
10044,2020-04-20,24
10033,2020-04-20,142
11368,2020-04-20,383
10314,2020-04-20,200
11215,2020-04-20,39
10040,2020-04-20,87
11210,2020-04-20,120
10463,2020-04-20,372
11426,2020-04-20,52
11377,2020-04-20,214
11233,2020-04-20,126
11004,2020-04-20,43
11369,2020-04-20,142
11421,2020-04-20,118
11219,2020-04-20,221
10017,2020-04-20,12
10039,2020-04-20,54
11370,2020-04-20,188
10034,2020-04-20,74
10466,2020-04-20,204
10472,2020-04-20,201
11206,2020-04-20,147
11207,2020-04-20,203
10016,2020-04-20,38
10005,2020-04-20,6
10459,2020-04-20,160
11105,2020-04-20,44
11229,2020-04-20,123
11356,2020-04-20,53
11414,2020-04-20,61
