category,is_essential
"Beer, Wine, and Liquor Stores",0
Full-Service Restaurants,1
General Automotive Repair,1
Snack and Nonalcoholic Beverage Bars,1
Tobacco Stores,0
Fitness and Recreational Sports Centers,0
Offices of Physicians (except Mental Health Specialists),1
Child Day Care Services,1
Elementary and Secondary Schools,0
Confectionery and Nut Stores,1
Beauty Salons,0
Tax Preparation Services,0
Assisted Living Facilities for the Elderly,1
Book Stores,0
Nail Salons,0
Florists,0
Freestanding Ambulatory Surgical and Emergency Centers,1
Optical Goods Stores,1
Drycleaning and Laundry Services (except Coin-Operated),1
International Affairs,1
Investment Advice,1
Bowling Centers,0
New Car Dealers,1
All Other Nondepository Credit Intermediation,0
Insurance Agencies and Brokerages,1
Furniture Stores,0
Used Merchandise Stores,0
Limited-Service Restaurants,1
Other Personal Care Services,0
Pharmacies and Drug Stores,1
Electronics Stores,1
Commercial Banking,1
Used Car Dealers,1
"Cosmetics, Beauty Supplies, and Perfume Stores",0
Hotels (except Casino Hotels) and Motels,1
Religious Organizations,0
"Sewing, Needlework, and Piece Goods Stores",0
Paint and Wallpaper Stores,1
"Colleges, Universities, and Professional Schools",0
Drinking Places (Alcoholic Beverages),0
Funeral Homes and Funeral Services,1
Securities Brokerage,0
"Automotive Body, Paint, and Interior Repair and Maintenance",1
Exam Preparation and Tutoring,0
"Photography Studios, Portrait",0
Fish and Seafood Markets,1
Hardware Stores,1
Offices of Real Estate Agents and Brokers,0
Shoe Stores,0
Construction and Mining (except Oil Well) Machinery and Equipment Merchant Wholesalers,1
Family Clothing Stores,0
Parking Lots and Garages,1
Wireless Telecommunications Carriers (except Satellite),1
Nature Parks and Other Similar Institutions,1
Line-Haul Railroads,1
Postal Service,1
Retail Bakeries,1
Other Activities Related to Credit Intermediation,1
Other Support Activities for Air Transportation,1
All Other Miscellaneous Store Retailers (except Tobacco Stores),1
Passenger Car Rental,1
Police Protection,1
All Other General Merchandise Stores,1
Jewelry Stores,0
Other Airport Operations,1
Supermarkets and Other Grocery (except Convenience) Stores,1
Musical Instrument and Supplies Stores,0
Women's Clothing Stores,0
Language Schools,0
Offices of Optometrists,1
Offices of Mental Health Practitioners (except Physicians),1
Video Tape and Disc Rental,0
Pet Care (except Veterinary) Services,1
Gasoline Stations with Convenience Stores,1
Food (Health) Supplement Stores,1
Children's and Infants' Clothing Stores,0
Sporting Goods Stores,0
Luggage and Leather Goods Stores,0
Libraries and Archives,0
Automotive Transmission Repair,1
Offices of Dentists,1
Automotive Parts and Accessories Stores,1
Lessors of Miniwarehouses and Self-Storage Units,1
Department Stores,1
"Offices of Physical, Occupational and Speech Therapists, and Audiologists",1
Fruit and Vegetable Markets,1
Home Health Care Services,0
Offices of Chiropractors,0
All Other Miscellaneous Schools and Instruction,0
Historical Sites,0
Casinos (except Casino Hotels),0
Industrial Machinery and Equipment Merchant Wholesalers,1
All Other Home Furnishings Stores,0
Travel Agencies,0
Motion Picture Theaters (except Drive-Ins),0
Malls,0
Men's Clothing Stores,0
Other Clothing Stores,0
Home and Garden Equipment Repair and Maintenance,1
Diet and Weight Reducing Centers,0
Other General Government Support,1
Carpet and Upholstery Cleaning Services,0
Office Supplies and Stationery Stores,1
Golf Courses and Country Clubs,1
Couriers and Express Delivery Services,1
"Plumbing, Heating, and Air-Conditioning Contractors",1
Medical Laboratories,1
Automobile Driving Schools,0
Sports Teams and Clubs,0
Footwear and Leather Goods Repair,0
Sign Manufacturing,0
Pet and Pet Supplies Stores,1
"Hobby, Toy, and Game Stores",0
Commercial Screen Printing,0
"Gift, Novelty, and Souvenir Stores",0
Women's Handbag and Purse Manufacturing,0
All Other Amusement and Recreation Industries,0
Regulation and Administration of Transportation Programs,1
Appliance Repair and Maintenance,1
Breweries,0
Fine Arts Schools,0
Wineries,0
"Jewelry, Watch, Precious Stone, and Precious Metal Merchant Wholesalers",0
Clothing Accessories Stores,0
Art Dealers,0
Family Planning Centers,0
Museums,0
Motor Vehicle Towing,1
All Other Specialty Food Stores,1
Toilet Preparation Manufacturing,1
All Other Miscellaneous Ambulatory Health Care Services,1
All Other Personal Services,0
Floor Covering Stores,0
Fire Protection,1
Other Technical and Trade Schools,0
Convenience Stores,1
Other Individual and Family Services,0
Veterinary Services,1
"Truck, Utility Trailer, and RV (Recreational Vehicle) Rental and Leasing",1
Amusement and Theme Parks,0
Clay Building Material and Refractories Manufacturing,1
General Line Grocery Merchant Wholesalers,1
Other Automotive Mechanical and Electrical Repair and Maintenance,1
Car Washes,1
Plumbing and Heating Equipment and Supplies (Hydronics) Merchant Wholesalers,1
Used Household and Office Goods Moving,0
General Medical and Surgical Hospitals,1
Kidney Dialysis Centers,1
Boat Dealers,0
Consumer Lending,1
Hazardous Waste Treatment and Disposal,1
Janitorial Services,1
Other Construction Material Merchant Wholesalers,1
Other Spectator Sports,0
Junior Colleges,0
Correctional Institutions,1
General Warehousing and Storage,1
Offices of All Other Miscellaneous Health Practitioners,1
Books Printing,0
Service Establishment Equipment and Supplies Merchant Wholesalers,1
All Other Consumer Goods Rental,1
"Research and Development in the Physical, Engineering, and Life Sciences (except Nanotechnology and Biotechnology)",1
Employment Placement Agencies,1
All Other Leather Good and Allied Product Manufacturing,0
Automotive Oil Change and Lubrication Shops,1
